code,name
"11T","ACARLAR SİTESİ - HAREM"
"11Ü","ESATPAŞA / ÜNALAN - ÜSKÜDAR"
"11ÜS","SULTANBEYLİ - ÜSKÜDAR"
"11Y","YAVUZTÜRK MAHALLESİ - ÜSKÜDAR"
"121A","BEYKOZ - MECİDİYEKÖY"
"121B","KAVACIK - MECİDİYEKÖY"
"121BS","SULTANİYE / SOĞUKSU MAHALLESİ - MECİDİYEKÖY"
"122C","TEPEÜSTÜ - MECİDİYEKÖY"
"122ÇK","ŞAHİNBEY - KAVACIK"
"122D","ATATÜRK MAHALLESİ - MECİDİYEKÖY"
"122H","S.GÖKÇEN HAVALİMANI / YENİŞEHİR - 4.LEVENT METRO"
"122M","ŞAHİNBEY - MECİDİYEKÖY"
"122V","VEYSEL KARANİ - 4.LEVENT METRO"
"122Y","ÇEKMEKÖY - MECİDİYEKÖY"
"129L","KOZYATAĞI - 4.LEVENT METRO"
"129T","BOSTANCI - TAKSİM"
"12A","KADIKÖY - ÜSKÜDAR"
"12C","ÜSKÜDAR DEVLET HASTANESİ - ÜSKÜDAR"
"130A","DENİZ HARP OKULU - KADIKÖY"
"130E","TUZLA / EVORA KONUTLARI - KARTAL METRO / CEVİZLİ"
"130H","DENİZ HARP OKULU - SABİHA GÖKÇEN HAVALİMANI"
"130Ş","ŞİFA MAHALLESİ - UZUNÇAYIR"
"130ŞT","ŞİFA MAHALLESİ - TAVŞANTEPE METRO"
"130T","AYDINLI TOKİ KONUTLARI - TUZLA"
"131K","YEŞİLTEPE / ŞAHİNBEY - KARTAL"
"131SB","SULTANBEYLİ MERKEZ-SULTANBEYLİ YENİ DEVLET HAST."
"131T","ATATÜRK MAH./ TAŞDELEN - İMES/ ÜMRANİYE"
"131V","VEYSEL KARANİ - YAKACIK / KARTAL"
"131Y","ÇEKMEKÖY/SAMANDIRA-KARTAL"
"131YS","SULTANBEYLİ DEVLET HASTANESİ - YENİDOĞAN - ÜMRANİYE"
"132A","ÇAMLIK MAHALLESİ - KARTAL"
"132B","AKFIRAT EVLERİ - KARTAL METRO"
"132C","SULTANBEYLİ GÖLET - KARTAL"
"132ÇK","ÇEKMEKÖY - KARTAL"
"132D","KURTDOĞMUŞ / BALLICA - KARTAL"
"132E","EMİRLİ / KURNAKÖY - KARTAL"
"132F","ESENLER - TAVŞANTEPE METRO/ KARTAL"
"132G","GÖZDAĞI - PENDİK YHT/PENDİK"
"132H","PENDİK/PENDİK YHT - SABİHA GÖKÇEN HAVALİMANI"
"132K","YENİŞEHİR - KARTAL"
"132M","SULTANBEYLİ MİMARSİNAN - KARTAL METRO / CEVİZLİ"
"132N","ÖZYEĞİN ÜNİ./NİŞANTEPE/BÜYÜKBAKKALKÖY-KARTAL"
"132P","VEYSEL KARANİ / SULTANBEYLİ - KARTAL"
"132S","YENİDOĞAN - KARTAL"
"132SB","SULTANBEYLİ DEVLET HAST.- MARMARA ÜNİV. BAŞIBÜYÜK KAMPÜSÜ"
"132SP","SULTANBEYLİ PERONLAR-PENDİK YHT/PENDİK"
"132T","TEPEÖREN - KARTAL METRO"
"132Y","HİLAL KONUTLARI / YAYALAR - KARTAL METRO"
"132YB","YENİDOĞAN - MARMARA ÜNİVERSİTESİ BAŞIBÜYÜK KAMPÜSÜ"
"132YM","YEŞİLTEPE-MARMARA EĞİTİM KÖYÜ"
"132YS","YENİDOĞAN/SULTANBEYLİ DEVLET HAST.-SULTANBEYLİ PERONLAR"
"132Z","SULTANBEYLİ UZUNDERE - KARTAL"
"133A","AYDINLI BAHÇELER - KARTAL"
"133AK","TEPEÖREN - KARTAL"
"133F","ACARLAR SİTESİ - MALTEPE / CEVİZLİ PERONLAR"
"133G","GÜLENSU MAHALLESİ - KARTAL"
"133GP","GÖÇBEYLİ - KARTAL"
"133K","KURTKÖY SANAYİ MAHALLESİ / KAVAKPINAR - KARTAL"
"133KT","AYDINLI TOKİ KONUTLARI - KARTAL"
"133M","TUZLA ORGANİZE SANAYİ - KAFKALE TUZLA SAHİL"
"133N","MALTEPE ÜNİVERSİTESİ - MALTEPE METRO / KARTAL"
"133P","TEPEÖREN - TUZLA"
"133Ş","ÇAĞDAŞKENT/ ŞEKERPINAR MAH. - KARTAL"
"133T","DENİZ HARP OKULU-MALTEPE PERONLAR"
"133TM","AYDINLI TOKİ/MİMARSİNAN MAHALLESİ - TUZLA"
"133Ü","GAZİ BULVARI/ ORHANLI - PENDİK METRO/YHT/PENDİK"
"134CK","ŞEYHLİ MEZARLIK/CEZAEVİ - KARTAL"
"134GK","UĞUR MUMCU/ GÜMÜŞPINAR - KARTAL"
